COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,
U.S. - NEBRASKA,3544,3420,3395,4063,4352,4343,4597,4071,4146,4286,4081,4314,4639,4754,4992,5721,5632,5362,5824,5828,6160,6253,6635,7315,8600,
U.S. - NEVADA,4908,4836,4589,4724,4894,5206,6075,5197,5208,5614,5357,5468,5606,5888,5929,6209,6448,6156,6840,7048,7038,7158,7261,7646,10076,
U.S. - NEW HAMPSHIRE,5218,5172,5341,5543,6526,6054,6509,6301,5925,5606,5820,5887,6045,5752,5931,6582,7787,8124,9357,10124,10411,10148,11621,10701,11944,
U.S. - NEW JERSEY,4664,4721,4752,5094,5244,5163,5464,5187,5002,5364,5231,5064,5171,5278,5452,5967,6263,6273,7856,8541,8726,9097,10131,10226,11733,
U.S. - NEW MEXICO,2813,2812,2719,2634,2981,3581,3575,3428,3208,3539,3631,3534,4106,4143,4067,5108,4939,4491,5021,5978,6159,6188,6284,6208,7530,
U.S. - NEW YORK,4521,4598,4660,4993,5524,5405,5760,5664,5470,5473,5368,5047,5475,5515,5857,6385,6610,6225,7506,8080,8642,8974,9772,9779,11301,
U.S. - NORTH CAROLINA,4498,4820,4636,4828,5204,4884,5409,5084,5052,5283,5037,4663,4915,5563,5791,6280,6561,5746,6811,7086,7405,7590,8434,8937,9490,
U.S. - NORTH DAKOTA,4839,4227,4052,3655,4355,4448,4891,4020,4624,4845,4541,4478,4989,5317,5239,5869,6066,5243,6736,7925,7387,7179,9261,9792,10605,
U.S. - OHIO,3461,3426,3299,3688,4017,4051,4007,4012,3949,4025,3951,3949,4165,4221,4570,4933,5256,4688,5774,6235,6530,6536,9433,9302,7451,
U.S. - OKLAHOMA,4763,5165,4956,4916,5176,5268,5735,5034,4934,5027,4957,4906,5092,5156,5193,5878,6064,5411,6119,6224,6424,6514,6801,6938,8019,
